word,corpus
LVII,sonnets
augurs,sonnets
dimm'd,sonnets
plagues,sonnets
treason,sonnets
surmise,sonnets
heed,sonnets
Unthrifty,sonnets
quality,sonnets
wherever,sonnets
C,sonnets
L,sonnets
imaginary,sonnets
H,sonnets
relief,sonnets
W,sonnets
V,sonnets
advised,sonnets
grey,sonnets
X,sonnets
glazed,sonnets
happies,sonnets
rebuked,sonnets
gardens,sonnets
misplaced,sonnets
mistaking,sonnets
enjoyer,sonnets
disarm'd,sonnets
dyer's,sonnets
Proud,sonnets
lips',sonnets
extremity,sonnets
unions,sonnets
drop,sonnets
afar,sonnets
HAPPINESS,sonnets
interchange,sonnets
composition,sonnets
guilt,sonnets
for't,sonnets
unrest,sonnets
tops,sonnets
complexion'd,sonnets
votary,sonnets
wish'd,sonnets
watchman,sonnets
burn'd,sonnets
brightness,sonnets
reign'd,sonnets
fuel,sonnets
alike,sonnets
spends,sonnets
travail,sonnets
youngly,sonnets
Join,sonnets
CXLIII,sonnets
torn,sonnets
EVER,sonnets
female,sonnets
brows,sonnets
pitying,sonnets
adding,sonnets
Whether,sonnets
sympathized,sonnets
bones,sonnets
purge,sonnets
possesseth,sonnets
o'ertake,sonnets
robe,sonnets
hems,sonnets
suppose,sonnets
esteeming,sonnets
impeach'd,sonnets
steals,sonnets
rents,sonnets
Wilt,sonnets
Bear,sonnets
day's,sonnets
maturity,sonnets
assistance,sonnets
space,sonnets
epitaph,sonnets
testy,sonnets
endless,sonnets
rather,sonnets
Disdains,sonnets
Never,sonnets
wailing,sonnets
whereupon,sonnets
clears,sonnets
moiety,sonnets
oaths',sonnets
alien,sonnets
warning,sonnets
Weeds,sonnets
duteous,sonnets
April's,sonnets
season'd,sonnets
exceeds,sonnets
miss'd,sonnets
pray,sonnets
Tell,sonnets
drowns,sonnets
writes,sonnets
Nativity,sonnets
darkness,sonnets
CXXIV,sonnets
CXXIX,sonnets
uphold,sonnets
finger,sonnets
Despite,sonnets
CXXII,sonnets
imitate,sonnets
herd,sonnets
wherewith,sonnets
Either,sonnets
celestial,sonnets
hate's,sonnets
disease,sonnets
prisoner,sonnets
sighs,sonnets
XXVII,sonnets
learn'd,sonnets
Beshrew,sonnets
executor,sonnets
brood,sonnets
hearted,sonnets
'cide,sonnets
Angry,sonnets
Cries,sonnets
rid,sonnets
naked,sonnets
registers,sonnets
forbidden,sonnets
advance,sonnets
blanks,sonnets
feeds,sonnets
succession,sonnets
maintain,sonnets
declines,sonnets
praising,sonnets
themes,sonnets
flow,sonnets
richly,sonnets
Helen's,sonnets
fury,sonnets
drink,sonnets
appeal,sonnets
stretched,sonnets
derive,sonnets
withal,sonnets
signs,sonnets
pied,sonnets
suggest,sonnets
teachest,sonnets
LXXVIII,sonnets
commence,sonnets
Wound,sonnets
garments',sonnets
blunter,sonnets
advocate,sonnets
cheap,sonnets
swerving,sonnets
dreaming,sonnets
press,sonnets
run,sonnets
pleasures,sonnets
stamp'd,sonnets
contrary,sonnets
OUR,sonnets
insults,sonnets
orphans,sonnets
Whom,sonnets
wounded,sonnets
impute,sonnets
become,sonnets
tyrannous,sonnets
goest,sonnets
descriptions,sonnets
bower,sonnets
curious,sonnets
climb'd,sonnets
XXI,sonnets
saved,sonnets
deservest,sonnets
XXX,sonnets
loathsome,sonnets
case,sonnets
XXV,sonnets
early,sonnets
CVII,sonnets
fleets,sonnets
departest,sonnets
worser,sonnets
Exceeded,sonnets
breach,sonnets
WELL,sonnets
successive,sonnets
inheritors,sonnets
Poor,sonnets
mercy,sonnets
tiger's,sonnets
XVI,sonnets
VIII,sonnets
charge,sonnets
counted,sonnets
graced,sonnets
surfeit,sonnets
wreckful,sonnets
sadly,sonnets
spies,sonnets
slept,sonnets
Weighs,sonnets
sole,sonnets
sold,sonnets
sap,sonnets
befits,sonnets
Excuse,sonnets
bearing,sonnets
closure,sonnets
scarlet,sonnets
backward,sonnets
inhabit,sonnets
hammer'd,sonnets
silver'd,sonnets
unswept,sonnets
crying,sonnets
endow'd,sonnets
mind's,sonnets
broken,sonnets
assemble,sonnets
Perforce,sonnets
lily,sonnets
boldness,sonnets
THESE,sonnets
deceivest,sonnets
proceeds,sonnets
succeeding,sonnets
afterwards,sonnets
plight,sonnets
patent,sonnets
function,sonnets
toward,sonnets
Triumph,sonnets
worthier,sonnets
cheer,sonnets
sheaves,sonnets
offenders,sonnets
Only,sonnets
voices,sonnets
Forgot,sonnets
madness,sonnets
shadow's,sonnets
soil,sonnets
paper,sonnets
pipe,sonnets
eclipse,sonnets
hanging,sonnets
rider,sonnets
beseem,sonnets
likeness,sonnets
judgment's,sonnets
came,sonnets
fools,sonnets
Beauty's,sonnets
soft,sonnets
Methinks,sonnets
assail'd,sonnets
freedom,sonnets
purity,sonnets
XIX,sonnets
XIV,sonnets
lesser,sonnets
overturn,sonnets
widow's,sonnets
Coral,sonnets
limits,sonnets
widow'd,sonnets
admiring,sonnets
Gentle,sonnets
Supposed,sonnets
blesses,sonnets
stealth,sonnets
owners,sonnets
deserve,sonnets
discloses,sonnets
pursuing,sonnets
shamed,sonnets
XLI,sonnets
sunk,sonnets
embassy,sonnets
erst,sonnets
throned,sonnets
spheres,sonnets
whatsoever,sonnets
soundless,sonnets
boat,sonnets
proclaims,sonnets
XLV,sonnets
history,sonnets
sums,sonnets
sunset,sonnets
bound,sonnets
fleece,sonnets
wantonly,sonnets
LXXXI,sonnets
vial,sonnets
Uttering,sonnets
Suns,sonnets
beseige,sonnets
Beyond,sonnets
paying,sonnets
key,sonnets
ages,sonnets
laugh'd,sonnets
penance,sonnets
sweet'st,sonnets
tenants,sonnets
eager,sonnets
subdued,sonnets
Crooked,sonnets
Lifts,sonnets
Tempteth,sonnets
'scoped,sonnets
walk,sonnets
saying,sonnets
sunken,sonnets
vice,sonnets
Creating,sonnets
Herein,sonnets
reproving,sonnets
seals,sonnets
wake,sonnets
correspondence,sonnets
society,sonnets
Praising,sonnets
Deserves,sonnets
famish'd,sonnets
prognosticate,sonnets
LXXXV,sonnets
XII,sonnets
disabled,sonnets
disposed,sonnets
abused,sonnets
nine,sonnets
score,sonnets
actor,sonnets
favourites,sonnets
nymphs,sonnets
lesson,sonnets
XCI,sonnets
windy,sonnets
delivers,sonnets
scorn'd,sonnets
limbecks,sonnets
Spend'st,sonnets
abuses,sonnets
salve,sonnets
attainted,sonnets
children's,sonnets
records,sonnets
unear'd,sonnets
Farewell,sonnets
raised,sonnets
famoused,sonnets
gazers,sonnets
outstripp'd,sonnets
looking,sonnets
fangled,sonnets
XCV,sonnets
pictured,sonnets
countenance,sonnets
Their,sonnets
refusest,sonnets
Points,sonnets
gazeth,sonnets
glutton,sonnets
livery,sonnets
imitated,sonnets
permit,sonnets
hunted,sonnets
middle,sonnets
sky,sonnets
groans,sonnets
XLII,sonnets
Music,sonnets
lambs,sonnets
dearths,sonnets
polish'd,sonnets
XLIV,sonnets
niggarding,sonnets
XLIX,sonnets
Plods,sonnets
doubt,sonnets
XCII,sonnets
league,sonnets
refigured,sonnets
war's,sonnets
hearsay,sonnets
supposing,sonnets
bough,sonnets
XCIV,sonnets
dearth,sonnets
XCIX,sonnets
play'd,sonnets
o'ersnow'd,sonnets
adverse,sonnets
suffered,sonnets
forwards,sonnets
savour,sonnets
vassalage,sonnets
WISHING,sonnets
Sweets,sonnets
Gored,sonnets
CXLVIII,sonnets
minion,sonnets
appetites,sonnets
sharp'st,sonnets
suppress'd,sonnets
reap,sonnets
Needs,sonnets
thrusts,sonnets
felt,sonnets
broils,sonnets
eating,sonnets
miscall'd,sonnets
XCVI,sonnets
compound,sonnets
redeem,sonnets
fullness,sonnets
snow,sonnets
Harsh,sonnets
granting,sonnets
Commit,sonnets
confounded,sonnets
twilight,sonnets
Muses,sonnets
builded,sonnets
transfix,sonnets
LXIII,sonnets
estimate,sonnets
tempting,sonnets
Askance,sonnets
habit,sonnets
figure,sonnets
civil,sonnets
kill'd,sonnets
bliss,sonnets
Whereon,sonnets
falls,sonnets
churls,sonnets
runs,sonnets
Crowning,sonnets
decrease,sonnets
detain,sonnets
terms,sonnets
ruminate,sonnets
dearly,sonnets
cherish,sonnets
Wooing,sonnets
INSUING,sonnets
subtleties,sonnets
worths,sonnets
fruit,sonnets
latch,sonnets
tallies,sonnets
flatterer,sonnets
pearl,sonnets
tribes,sonnets
Beggar'd,sonnets
recite,sonnets
sue,sonnets
mouthed,sonnets
cries,sonnets
physicians,sonnets
about,sonnets
ruth,sonnets
elder,sonnets
abundant,sonnets
frown'st,sonnets
oblation,sonnets
beseechers,sonnets
Hers,sonnets
feed,sonnets
fearful,sonnets
Want,sonnets
cease,sonnets
promise,sonnets
beaten,sonnets
directed,sonnets
service,sonnets
costly,sonnets
sword,sonnets
bases,sonnets
Profitless,sonnets
Betwixt,sonnets
marigold,sonnets
'Now,sonnets
choose,sonnets
wing,sonnets
lion's,sonnets
memorial,sonnets
youth's,sonnets
prevent,sonnets
ceremony,sonnets
ward,sonnets
infant's,sonnets
Hence,sonnets
CXXVI,sonnets
knights,sonnets
tender'd,sonnets
Might,sonnets
wane,sonnets
seems,sonnets
Vaunt,sonnets
wardrobe,sonnets
rent,sonnets
usury,sonnets
foist,sonnets
salving,sonnets
Duty,sonnets
Suspect,sonnets
hated,sonnets
dies,sonnets
Simply,sonnets
trifles,sonnets
renew,sonnets
CXXXI,sonnets
subsist,sonnets
surmount,sonnets
translated,sonnets
seest,sonnets
anon,sonnets
yellow'd,sonnets
drain'd,sonnets
directly,sonnets
usest,sonnets
ensconce,sonnets
accuse,sonnets
wander'st,sonnets
Authorizing,sonnets
wiry,sonnets
summon,sonnets
warm,sonnets
voice,sonnets
bond,sonnets
wary,sonnets
spites,sonnets
incertainty,sonnets
office,sonnets
mistake,sonnets
boot,sonnets
LXIV,sonnets
consecrate,sonnets
LXIX,sonnets
LXII,sonnets
Blessed,sonnets
